iter	Passed	Remaining
938	64822	38728
939	64887	38656
940	64953	38585
941	65019	38514
942	65088	38445
943	65147	38370
944	65206	38295
945	65273	38225
946	65343	38157
947	65406	38084
948	65472	38013
949	65534	37941
950	65598	37868
951	65663	37798
952	65720	37722
953	65787	37651
954	65859	37584
955	65924	37513
956	65983	37438
957	66047	37367
958	66113	37296
959	66172	37221
960	66235	37149
961	66295	37075
962	66366	37008
963	66431	36937
964	66500	36867
965	66575	36802
966	66636	36729
967	66707	36661
968	66780	36594
969	66849	36525
970	66909	36452
971	66975	36381
972	67035	36308
973	67099	36236
974	67156	36160
975	67228	36093
976	67287	36019
977	67355	35950
978	67425	35882
979	67494	35813
980	67563	35744
981	67630	35674
982	67709	35611
983	67772	35539
984	67841	35470
985	67906	35399
986	67980	35333
987	68045	35262
988	68104	35188
989	68166	35116
990	68227	35043
991	68297	34974
992	68363	34904
993	68427	34833
994	68495	34764
995	68559	34692
996	68623	34621
997	68692	34552
998	68752	34479
999	68823	34411
1000	68893	34343
1001	68968	34277
1002	69037	34208
1003	69097	34136
1004	69165	34066
1005	69226	33993
1006	69291	33923
1007	69357	33852
1008	69429	33785
1009	69506	33720
1010	69578	33653
1011	69648	33585
1012	69721	33518
1013	69791	33450
1014	69860	33381
1015	69930	33313
1016	69996	33243
1017	70067	33175
1018	70135	33105
1019	70202	33036
1020	70263	32963
1021	70328	32893
1022	70392	32822
1023	70458	32752
1024	70522	32681
1025	70587	32610
1026	70656	32541
1027	70725	32473
1028	70795	32404
1029	70862	32335
1030	70932	32266
1031	70999	32197
1032	71062	32125
1033	71126	32054
1034	71182	31980
1035	71249	31911
1036	71315	31841
1037	71383	31771
1038	71451	31702
1039	71527	31637
1040	71591	31566
1041	71654	31494
1042	71715	31422
1043	71772	31348
1044	71833	31276
1045	71895	31205
1046	71963	31135
1047	72028	31065
1048	72089	30993
1049	72152	30922
1050	72213	30850
1051	72273	30778
1052	72333	30705
1053	72399	30635
1054	72473	30569
1055	72538	30499
1056	72599	30427
1057	72661	30355
1058	72728	30286
1059	72787	30213
1060	72850	30142
1061	72921	30074
1062	72983	30003
1063	73044	29931
1064	73106	29860
1065	73171	29790
1066	73245	29723
1067	73314	29655
1068	73372	29582
1069	73444	29515
1070	73520	29449
1071	73618	29392
1072	73705	29331
1073	73776	29263
1074	73836	29191
1075	73900	29120
1076	73964	29050
1077	74035	28982
1078	74099	28911
1079	74162	28840
1080	74229	28771
1081	74298	28703
1082	74362	28632
1083	74428	28562
1084	74500	28495
1085	74562	28424
1086	74623	28352
1087	74694	28285
1088	74763	28216
1089	74838	28150
1090	74902	28079
1091	74962	28007
1092	75062	27950
1093	75172	27897
1094	75252	27832
1095	75321	27764
1096	75397	27698
1097	75470	27631
1098	75582	27578
1099	75669	27516
1100	75745	27450
1101	75815	27381
1102	75891	27315
1103	75960	27246
1104	76030	27178
1105	76104	27111
1106	76185	27046
1107	76262	26980
1108	76335	26913
1109	76409	26846
1110	76493	26783
1111	76600	26727
1112	76754	26688
1113	76819	26617
1114	76923	26560
1115	77002	26495
1116	77080	26429
1117	77151	26361
1118	77217	26291
1119	77291	26224
1120	77365	26156
1121	77436	26088
1122	77515	26022
1123	77588	25954
1124	77653	25884
1125	77720	25814
1126	77798	25748
1127	77873	25681
1128	77949	25615
1129	78027	25548
1130	78094	25479
1131	78167	25411
1132	78239	25343
1133	78307	25273
1134	78381	25206
1135	78460	25140
1136	78535	25073
1137	78604	25004
1138	78675	24935
1139	78748	24867
1140	78821	24799
1141	78885	24729
1142	78956	24660
1143	79028	24592
1144	79101	24525
1145	79172	24456
1146	79244	24388
1147	79325	24322
1148	79399	24255
1149	79485	24191
1150	79564	24125
1151	79629	24054
1152	79696	23984
1153	79765	23915
1154	79835	23847
1155	79895	23775
1156	79956	23703
1157	80019	23632
1158	80087	23563
1159	80155	23493
1160	80266	23437
1161	80427	23394
1162	80545	23339
1163	80621	23272
1164	80694	23204
1165	80769	23136
1166	80838	23067
1167	80914	22999
1168	80991	22932
1169	81057	22862
1170	81126	22793
1171	81229	22733
1172	81321	22670
1173	81392	22601
1174	81480	22537
1175	81563	22471
1176	81634	22402
1177	81712	22335
1178	81785	22267
1179	81852	22197
1180	81925	22128
1181	82032	22069
1182	82166	22017
1183	82244	21950
1184	82318	21882
1185	82394	21814
1186	82480	21749
1187	82552	21680
1188	82630	21613
1189	82703	21544
1190	82777	21476
1191	82851	21408
1192	82931	21341
1193	82999	21271
1194	83081	21204
1195	83158	21137
1196	83227	21067
1197	83293	20997
1198	83366	20928
1199	83446	20861
1200	83521	20793
1201	83591	20724
1202	83657	20653
1203	83737	20586
1204	83815	20519
1205	83883	20449
1206	83951	20379
1207	84042	20314
1208	84130	20249
1209	84217	20184
1210	84298	20117
1211	84371	20048
1212	84457	19982
1213	84529	19913
1214	84608	19846
1215	84685	19778
1216	84756	19709
1217	84826	19639
1218	84890	19568
1219	84964	19500
1220	85042	19432
1221	85113	19362
1222	85187	19294
1223	85263	19225
1224	85328	19155
1225	85398	19085
1226	85467	19015
1227	85537	18946
1228	85598	18874
1229	85663	18804
1230	85734	18734
1231	85794	18663
1232	85859	18592
1233	85915	18519
1234	85978	18448
1235	86047	18379
1236	86103	18306
1237	86170	18236
1238	86236	18166
1239	86311	18097
1240	86382	18028
1241	86448	17957
1242	86515	17887
1243	86574	17816
1244	86638	17745
1245	86727	17679
1246	86885	17627
1247	87034	17574
1248	87107	17505
1249	87183	17436
1250	87267	17369
1251	87333	17299
